M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119,M120,M121,M122,M123,M124,M125,M126,M127,M128,M129,M130,M131,M132,M133,M134,M135,M136,M137,M138,M139,M140,M141,M142,M143,M144,M145,M146,M147,M148,M149,M150
0,FTT61x24v8,,,Created with FTT:Power v5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand (GWh/y or GJ/y),Sum Tech:1  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2013.25,2013.5,2013.75,2014,2014.25,2014.5,2014.75,2015,2015.25,2015.5,2015.75,2016,2016.25,2016.5,2016.75,2017,2017.25,2017.5,2017.75,2018,2018.25,2018.5,2018.75,2019,2019.25,2019.5,2019.75,2020,2020.25,2020.5,2020.75,2021,2021.25,2021.5,2021.75,2022,2022.25,2022.5,2022.75,2023,2023.25,2023.5,2023.75,2024,2024.25,2024.5,2024.75,2025,2025.25,2025.5,2025.75,2026,2026.25,2026.5,2026.75,2027,2027.25,2027.5,2027.75,2028,2028.25,2028.5,2028.75,2029,2029.25,2029.5,2029.75,2030,2030.25,2030.5,2030.75,2031,2031.25,2031.5,2031.75,2032,2032.25,2032.5,2032.75,2033,2033.25,2033.5,2033.75,2034,2034.25,2034.5,2034.75,2035,2035.25,2035.5,2035.75,2036,2036.25,2036.5,2036.75,2037,2037.25,2037.5,2037.75,2038,2038.25,2038.5,2038.75,2039,2039.25,2039.5,2039.75,2040,2040.25,2040.5,2040.75,2041,2041.25,2041.5,2041.75,2042,2042.25,2042.5,2042.75,2043,2043.25,2043.5,2043.75,2044,2044.25,2044.5,2044.75,2045,2045.25,2045.5,2045.75,2046,2046.25,2046.5,2046.75,2047,2047.25,2047.5,2047.75,2048,2048.25,2048.5,2048.75,2049,2049.25,2049.5,2049.75,2050
1 Belgium,15.9767953056,15.9584654952,15.9430141098,15.9275627244,15.912111339,15.8966599536,15.6143827575,15.3321055614,15.0498283653,14.7675511692,14.6045443914,14.4415376136,14.2785308358,14.115524058,13.9527653481,13.7900066382,13.6272479283,13.4644892184,13.3422712929,13.2200533674,13.0978354419,12.9756175164,12.8153258784,12.6550342404,12.4947426024,12.3344509644,12.1922839836,12.0501170028,11.907950022,11.7657830412,11.6620205301,11.558258019,11.4544955079,11.3507329968,11.2513823262,11.1520316556,11.052680985,10.9533303144,10.8604063818,10.7674824492,10.6745585166,10.581634584,10.4943701583,10.4071057326,10.3198413069,10.2325768812,10.1479731669,10.0633694526,9.9787657383,9.894162024,9.8115575067,9.7289529894,9.6463484721,9.5637439548,9.4971455739,9.430547193,9.3639488121,9.2973504312,9.2630898468,9.2288292624,9.194568678,9.1603080936,9.1774813005,9.1946545074,9.2118277143,9.2290009212,9.296883603,9.3647662848,9.4326489666,9.5005316484,9.3550843098,9.2096369712,9.0641896326,8.918742294,8.7819532578,8.6451642216,8.5083751854,8.3715861492,8.2458042102,8.1200222712,7.9942403322,7.8684583932,7.7492842713,7.6301101494,7.5109360275,7.3917619056,7.2835299855,7.1752980654,7.0670661453,6.9588342252,6.8583384648,6.7578427044,6.657346944,6.5568511836,6.4667993958,6.376747608,6.2866958202,6.1966440324,6.1130284029,6.0294127734,5.9457971439,5.8621815144,5.7875340105,5.7128865066,5.6382390027,5.5635914988,5.4949960143,5.4264005298,5.3578050453,5.2892095608,5.241235113,5.1932606652,5.1452862174,5.0973117696,5.0528940084,5.0084762472,4.964058486,4.9196407248,4.8800880252,4.8405353256,4.800982626,4.7614299264,4.72553649,4.6896430536,4.6537496172,4.6178561808,4.5867179025,4.5555796242,4.5244413459,4.4933030676,4.4785268037,4.4637505398,4.4489742759,4.434198012,4.4230527504,4.4119074888,4.4007622272,4.3896169656,4.3789469058,4.368276846,4.3576067862,4.3469367264,4.3402064454,4.3334761644,4.3267458834,4.3200156024,4.3111333062,4.30225101,4.2933687138
2 Denmark,6.2824378446,6.2647004664,6.2498750076,6.2350495488,6.22022409,6.2053986312,6.1844918454,6.1635850596,6.1426782738,6.121771488,6.0977319291,6.0736923702,6.0496528113,6.0256132524,6.0069495447,5.988285837,5.9696221293,5.9509584216,5.9604101226,5.9698618236,5.9793135246,5.9887652256,5.9989674105,6.0091695954,6.0193717803,6.0295739652,6.0165896517,6.0036053382,5.9906210247,5.9776367112,5.9509688886,5.924301066,5.8976332434,5.8709654208,5.8473257013,5.8236859818,5.8000462623,5.7764065428,5.7533927499,5.730378957,5.7073651641,5.6843513712,5.6640202704,5.6436891696,5.6233580688,5.603026968,5.5838660778,5.5647051876,5.5455442974,5.5263834072,5.4640084608,5.4016335144,5.339258568,5.2768836216,5.2194480525,5.1620124834,5.1045769143,5.0471413452,4.9926815442,4.9382217432,4.8837619422,4.8293021412,4.7762721324,4.7232421236,4.6702121148,4.617182106,4.5656446914,4.5141072768,4.4625698622,4.4110324476,4.34767779,4.2843231324,4.2209684748,4.1576138172,4.0976127864,4.0376117556,3.9776107248,3.917609694,3.863285964,3.808962234,3.754638504,3.700314774,3.6487878264,3.5972608788,3.5457339312,3.4942069836,3.4453847088,3.396562434,3.3477401592,3.2989178844,3.2698499787,3.240782073,3.2117141673,3.1826462616,3.1544596773,3.126273093,3.0980865087,3.0698999244,3.0436089138,3.0173179032,2.9910268926,2.964735882,2.9385286074,2.9123213328,2.8861140582,2.8599067836,2.8351879164,2.8104690492,2.785750182,2.7610313148,2.7438172866,2.7266032584,2.7093892302,2.692175202,2.6766882288,2.6612012556,2.6457142824,2.6302273092,2.6143750377,2.5985227662,2.5826704947,2.5668182232,2.5516944549,2.5365706866,2.5214469183,2.50632315,2.4949894824,2.4836558148,2.4723221472,2.4609884796,2.4378072147,2.4146259498,2.3914446849,2.36826342,2.345476761,2.322690102,2.299903443,2.277116784,2.2548283542,2.2325399244,2.2102514946,2.1879630648,2.1665810772,2.1451990896,2.123817102,2.1024351144,2.0831810679,2.0639270214,2.0446729749
3 Germany,483.2328056697,477.8837970912,473.1336348903,468.3834726894,463.6333104885,458.8831482876,445.6135776366,432.3440069856,419.0744363346,405.8048656836,407.4826661217,409.1604665598,410.8382669979,412.516067436,414.4328399511,416.3496124662,418.2663849813,420.1831574964,425.1965197392,430.209881982,435.2232442248,440.2366064676,439.1492086782,438.0618108888,436.9744130994,435.88701531,437.1475215789,438.4080278478,439.6685341167,440.9290403856,439.9536824109,438.9783244362,438.0029664615,437.0276084868,437.8284417969,438.629275107,439.4301084171,440.2309417272,440.761821687,441.2927016468,441.8235816066,442.3544615664,443.4091740549,444.4638865434,445.5185990319,446.5733115204,447.6865439592,448.799776398,449.9130088368,451.0262412756,449.6486124168,448.270983558,446.8933546992,445.5157258404,444.4680743901,443.4204229398,442.3727714895,441.3251200392,440.3359864458,439.3468528524,438.357719259,437.3685856656,436.4501995719,435.5318134782,434.6134273845,433.6950412908,432.6770323845,431.6590234782,430.6410145719,429.6230056656,428.348660976,427.0743162864,425.7999715968,424.5256269072,423.7281378036,422.9306487,422.1331595964,421.3356704928,421.4202145452,421.5047585976,421.58930265,421.6738467024,421.178221692,420.6825966816,420.1869716712,419.6913466608,420.5321848449,421.373023029,422.2138612131,423.0546993972,426.6421694442,430.2296394912,433.8171095382,437.4045795852,440.1264653667,442.8483511482,445.5702369297,448.2921227112,451.7442083934,455.1962940756,458.6483797578,462.10046544,465.3632501937,468.6260349474,471.8888197011,475.1516044548,479.3846089329,483.617613411,487.8506178891,492.0836223672,491.3784176625,490.6732129578,489.9680082531,489.2628035484,488.7080881362,488.153372724,487.5986573118,487.0439418996,485.5336155549,484.0232892102,482.5129628655,481.0026365208,479.1071266695,477.2116168182,475.3161069669,473.4205971156,470.8306269351,468.2406567546,465.6506865741,463.0607163936,471.9020217282,480.7433270628,489.5846323974,498.425937732,505.8528582906,513.2797788492,520.7066994078,528.1336199664,537.0346322091,545.9356444518,554.8366566945,563.7376689372,575.04787371,586.3580784828,597.6682832556,608.9784880284,620.1378298368,631.2971716452,642.4565134536
4 Greece,7.8453755181,7.7100633756,7.5839025312,7.4577416868,7.3315808424,7.205419998,7.0994594169,6.9934988358,6.8875382547,6.7815776736,6.768747225,6.7559167764,6.7430863278,6.7302558792,6.7192184277,6.7081809762,6.6971435247,6.6861060732,6.6781176588,6.6701292444,6.66214083,6.6541524156,6.6630357585,6.6719191014,6.6808024443,6.6896857872,6.7474709541,6.805256121,6.8630412879,6.9208264548,6.976914921,7.0330033872,7.0890918534,7.1451803196,7.2344753433,7.323770367,7.4130653907,7.5023604144,7.6564964097,7.810632405,7.9647684003,8.1189043956,8.3357178336,8.5525312716,8.7693447096,8.9861581476,9.2489489298,9.511739712,9.7745304942,10.0373212764,10.1991630771,10.3610048778,10.5228466785,10.6846884792,10.4297259663,10.1747634534,9.9198009405,9.6648384276,9.4047198705,9.1446013134,8.8844827563,8.6243641992,8.4694808601,8.314597521,8.1597141819,8.0048308428,7.9384543623,7.8720778818,7.8057014013,7.7393249208,7.7048665101,7.6704080994,7.6359496887,7.601491278,7.5911729094,7.5808545408,7.5705361722,7.5602178036,7.5661075845,7.5719973654,7.5778871463,7.5837769272,7.6702542345,7.7567315418,7.8432088491,7.9296861564,8.0580963591,8.1865065618,8.3149167645,8.4433269672,8.5854677805,8.7276085938,8.8697494071,9.0118902204,9.1670791959,9.3222681714,9.4774571469,9.6326461224,9.7999213428,9.9671965632,10.1344717836,10.301747004,10.4938656489,10.6859842938,10.8781029387,11.0702215836,11.2815712476,11.4929209116,11.7042705756,11.9156202396,12.1191678018,12.322715364,12.5262629262,12.7298104884,12.9112318593,13.0926532302,13.2740746011,13.455495972,13.6127919546,13.7700879372,13.9273839198,14.0846799024,14.1920545752,14.299429248,14.4068039208,14.5141785936,14.0808772413,13.647575889,13.2142745367,12.7809731844,12.9003692067,13.019765229,13.1391612513,13.2585572736,13.3510028643,13.443448455,13.5358940457,13.6283396364,13.7324998935,13.8366601506,13.9408204077,14.0449806648,14.1918023205,14.3386239762,14.4854456319,14.6322672876,14.7270888873,14.821910487,14.9167320867
5 Spain,52.7933698173,49.5711928368,47.4985154034,45.42583797,43.3531605366,41.2804831032,40.0314444795,38.7824058558,37.5333672321,36.2843286084,36.4698582768,36.6553879452,36.8409176136,37.026447282,37.2733104303,37.5201735786,37.7670367269,38.0138998752,37.7166977838,37.4194956924,37.122293601,36.8250915096,37.2177725283,37.610453547,38.0031345657,38.3958155844,39.1309245081,39.8660334318,40.6011423555,41.3362512792,41.7520036593,42.1677560394,42.5835084195,42.9992607996,42.964397316,42.9295338324,42.8946703488,42.8598068652,43.5468460914,44.2338853176,44.9209245438,45.60796377,46.5904612854,47.5729588008,48.5554563162,49.5379538316,50.8669142805,52.1958747294,53.5248351783,54.8537956272,54.7310166705,54.6082377138,54.4854587571,54.3626798004,55.1890180494,56.0153562984,56.8416945474,57.6680327964,57.3975906372,57.127148478,56.8567063188,56.5862641596,56.3959604925,56.2056568254,56.0153531583,55.8250494912,55.5992114058,55.3733733204,55.147535235,54.9216971496,53.7518811555,52.5820651614,51.4122491673,50.2424331732,49.4998267374,48.7572203016,48.0146138658,47.27200743,46.7792618913,46.2865163526,45.7937708139,45.3010252752,44.9414116029,44.5817979306,44.2221842583,43.862570586,43.5799772865,43.297383987,43.0147906875,42.732197388,42.5867322555,42.441267123,42.2958019905,42.150336858,41.3667374634,40.5831380688,39.7995386742,39.0159392796,39.0364085448,39.05687781,39.0773470752,39.0978163404,39.7576842813,40.4175522222,41.0774201631,41.737288104,41.5113348816,41.2853816592,41.0594284368,40.8334752144,40.6997456823,40.5660161502,40.4322866181,40.298557086,40.2115532886,40.1245494912,40.0375456938,39.9505418964,39.8739579975,39.7973740986,39.7207901997,39.6442063008,39.5686157202,39.4930251396,39.417434559,39.3418439784,39.2547700521,39.1676961258,39.0806221995,38.9935482732,39.1630194702,39.3324906672,39.5019618642,39.6714330612,39.8340965214,39.9967599816,40.1594234418,40.322086902,40.4647050105,40.607323119,40.7499412275,40.892559336,41.0185568952,41.1445544544,41.2705520136,41.3965495728,41.4449887554,41.493427938,41.5418671206
6 France,96.0104174859,95.3880779268,94.9044993867,94.4209208466,93.9373423065,93.4537637664,93.1076263566,92.7614889468,92.415351537,92.0692141272,92.0005286265,91.9318431258,91.8631576251,91.7944721244,91.7468211069,91.6991700894,91.6515190719,91.6038680544,90.7177810293,89.8316940042,88.9456069791,88.059519954,88.0966275624,88.1337351708,88.1708427792,88.2079503876,88.2929382408,88.377926094,88.4629139472,88.5479018004,88.2111323556,87.8743629108,87.537593466,87.2008240212,86.922971226,86.6451184308,86.3672656356,86.0894128404,85.895572374,85.7017319076,85.5078914412,85.3140509748,85.1971481919,85.080245409,84.9633426261,84.8464398432,84.7684617399,84.6904836366,84.6125055333,84.53452743,84.5940030174,84.6534786048,84.7129541922,84.7724297796,84.9287198835,85.0850099874,85.2413000913,85.3975901952,85.5639485064,85.7303068176,85.8966651288,86.06302344,86.2640557821,86.4650881242,86.6661204663,86.8671528084,87.1291868265,87.3912208446,87.6532548627,87.9152888808,87.4634420979,87.011595315,86.5597485321,86.1079017492,85.7245761351,85.341250521,84.9579249069,84.5745992928,84.2672661921,83.9599330914,83.6525999907,83.34526689,83.0910506742,82.8368344584,82.5826182426,82.3284020268,82.1180561481,81.9077102694,81.6973643907,81.487018512,80.8816658472,80.2763131824,79.6709605176,79.0656078528,78.6442430673,78.2228782818,77.8015134963,77.3801487108,77.0951019465,76.8100551822,76.5250084179,76.2399616536,76.0409358354,75.8419100172,75.642884199,75.4438583808,75.2995079838,75.1551575868,75.0108071898,74.8664567928,74.8118829015,74.7573090102,74.7027351189,74.6481612276,74.6202530655,74.5923449034,74.5644367413,74.5365285792,74.5379698851,74.539411191,74.5408524969,74.5422938028,74.5690191939,74.595744585,74.6224699761,74.6491953672,74.7023059719,74.7554165766,74.8085271813,74.861637786,75.0114153225,75.161192859,75.3109703955,75.460747932,75.5691891921,75.6776304522,75.7860717123,75.8945129724,75.8704221252,75.846331278,75.8222404308,75.7981495836,75.8890345446,75.9799195056,76.0708044666,76.1616894276,76.2210268506,76.2803642736,76.3397016966
7 Ireland,24.5978048313,24.5371265856,24.4809481032,24.4247696208,24.3685911384,24.312412656,21.6979706295,19.083528603,16.4690865765,13.85464455,13.4974874826,13.1403304152,12.7831733478,12.4260162804,12.4131628044,12.4003093284,12.3874558524,12.3746023764,12.3864709077,12.398339439,12.4102079703,12.4220765016,12.4043077224,12.3865389432,12.368770164,12.3510013848,12.3256293768,12.3002573688,12.2748853608,12.2495133528,12.2091159663,12.1687185798,12.1283211933,12.0879238068,12.0479126526,12.0079014984,11.9678903442,11.92787919,11.9075166882,11.8871541864,11.8667916846,11.8464291828,11.8102918653,11.7741545478,11.7380172303,11.7018799128,11.6949036573,11.6879274018,11.6809511463,11.6739748908,11.5786351746,11.4832954584,11.3879557422,11.292616026,11.1748643694,11.0571127128,10.9393610562,10.8216093996,10.7163919755,10.6111745514,10.5059571273,10.4007397032,10.3059746253,10.2112095474,10.1164444695,10.0216793916,9.9251631846,9.8286469776,9.7321307706,9.6356145636,9.5205183849,9.4054222062,9.2903260275,9.1752298488,9.0588608829,8.942491917,8.8261229511,8.7097539852,8.5970537028,8.4843534204,8.371653138,8.2589528556,8.1545141763,8.050075497,7.9456368177,7.8411981384,7.7279179842,7.61463783,7.5013576758,7.3880775216,7.2715243365,7.1549711514,7.0384179663,6.9218647812,6.8085940473,6.6953233134,6.5820525795,6.4687818456,6.353615538,6.2384492304,6.1232829228,6.0081166152,5.8957219692,5.7833273232,5.6709326772,5.5585380312,5.4477207621,5.336903493,5.2260862239,5.1152689548,5.0136343848,4.9119998148,4.8103652448,4.7087306748,4.606798842,4.5048670092,4.4029351764,4.3010033436,4.2014778741,4.1019524046,4.0024269351,3.9029014656,3.8098739097,3.7168463538,3.6238187979,3.530791242,3.4449147405,3.359038239,3.2731617375,3.187285236,3.1063250844,3.0253649328,2.9444047812,2.8634446296,2.7860903595,2.7087360894,2.6313818193,2.5540275492,2.4880446279,2.4220617066,2.3560787853,2.290095864,2.2296981339,2.1693004038,2.1089026737,2.0485049436,1.9893130119,1.9301210802,1.8709291485
8 Italy,156.4406758818,154.6399897236,153.3404656188,152.040941514,150.7414174092,149.4418933044,148.8572768133,148.2726603222,147.6880438311,147.10342734,148.5291855582,149.9549437764,151.3807019946,152.8064602128,154.2873031119,155.768146011,157.2489889101,158.7298318092,157.5088102044,156.2877885996,155.0667669948,153.84574539,155.3076105714,156.7694757528,158.2313409342,159.6932061156,162.7394129388,165.785619762,168.8318265852,171.8780334084,170.6897777004,169.5015219924,168.3132662844,167.1250105764,169.3141197777,171.503228979,173.6923381803,175.8814473816,177.1702459515,178.4590445214,179.7478430913,181.0366416612,183.3316810893,185.6267205174,187.9217599455,190.2167993736,192.5843039361,194.9518084986,197.3193130611,199.6868176236,201.1375951119,202.5883726002,204.0391500885,205.4899275768,207.2241106038,208.9582936308,210.6924766578,212.4266596848,213.8560823997,215.2855051146,216.7149278295,218.1443505444,219.6449582796,221.1455660148,222.64617375,224.1467814852,225.5823849636,227.017988442,228.4535919204,229.8891953988,232.0150158846,234.1408363704,236.2666568562,238.392477342,240.5115141651,242.6305509882,244.7495878113,246.8686246344,249.130415637,251.3922066396,253.6539976422,255.9157886448,258.0736601313,260.2315316178,262.3894031043,264.5472745908,266.6670838785,268.7868931662,270.9067024539,273.0265117416,275.111791443,277.1970711444,279.2823508458,281.3676305472,283.2830653797,285.1985002122,287.1139350447,289.0293698772,290.8951838028,292.7609977284,294.626811654,296.4926255796,298.2106779129,299.9287302462,301.6467825795,303.3648349128,304.9881326352,306.6114303576,308.23472808,309.8580258024,311.1297547887,312.401483775,313.6732127613,314.9449417476,316.1731709286,317.4014001096,318.6296292906,319.8578584716,320.9598619128,322.061865354,323.1638687952,324.2658722364,325.2822765516,326.2986808668,327.315085182,328.3314894972,329.2181982621,330.104907027,330.9916157919,331.8783245568,332.8081489881,333.7379734194,334.6677978507,335.597622282,336.5676483669,337.5376744518,338.5077005367,339.4777266216,340.2365935419,340.9954604622,341.7543273825,342.5131943028,343.3121037783,344.1110132538,344.9099227293,345.7088322048,346.4695507374,347.23026927,347.9909878026
9 Luxembourg,2.4494444253,2.4215865048,2.3957686026,2.3699507004,2.3441327982,2.318314896,2.2847629275,2.251210959,2.2176589905,2.184107022,2.1744543546,2.1648016872,2.1551490198,2.1454963524,2.1353799969,2.1252636414,2.1151472859,2.1050309304,2.077301754,2.0495725776,2.0218434012,1.9941142248,2.0351678922,2.0762215596,2.117275227,2.1583288944,2.2746141243,2.3908993542,2.5071845841,2.623469814,2.7408300048,2.8581901956,2.9755503864,3.0929105772,3.2655407148,3.4381708524,3.61080099,3.7834311276,4.0576937418,4.331956356,4.6062189702,4.8804815844,5.1755264271,5.4705712698,5.7656161125,6.0606609552,6.3274155903,6.5941702254,6.8609248605,7.1276794956,7.2425862216,7.3574929476,7.4723996736,7.5873063996,7.3785692988,7.169832198,6.9610950972,6.7523579964,6.8414154192,6.930472842,7.0195302648,7.1085876876,7.2690980859,7.4296084842,7.5901188825,7.7506292808,7.9546593717,8.1586894626,8.3627195535,8.5667496444,8.7586516224,8.9505536004,9.1424555784,9.3343575564,9.9899235603,10.6454895642,11.3010555681,11.956621572,11.6615306745,11.366439777,11.0713488795,10.776257982,11.7339016059,12.6915452298,13.6491888537,14.6068324776,15.0186314718,15.430430466,15.8422294602,16.2540284544,16.658042094,17.0620557336,17.4660693732,17.8700830128,18.2158216299,18.561560247,18.9072988641,19.2530374812,18.7437729231,18.234508365,17.7252438069,17.2159792488,17.4629031057,17.7098269626,17.9567508195,18.2036746764,18.4364126082,18.66915054,18.9018884718,19.1346264036,19.3410440172,19.5474616308,19.7538792444,19.960296858,20.218706154,20.47711545,20.735524746,20.993934042,21.2422248891,21.4905157362,21.7388065833,21.9870974304,22.2233585544,22.4596196784,22.6958808024,22.9321419264,23.1547812966,23.3774206668,23.600060037,23.8226994072,24.0267085641,24.230717721,24.4347268779,24.6387360348,24.8268646593,25.0149932838,25.2031219083,25.3912505328,25.5631856616,25.7351207904,25.9070559192,26.078991048,26.2350069165,26.391022785,26.5470386535,26.703054522,26.8433102286,26.9835659352,27.1238216418
